,Country,Days,CumConfirmed,CumConfirmed_per_million,CumDeaths,CumRecovered,smoothed_cumulative_testing_count,SmoothedCumTesting_per_thousand,Population,Pop_Density,Land_Area_Kmsq,HealthCapacityScore,RecoveryRate,FatalityRate,Active,Population Interval,Health Capacity Score Interval
35,Chile,224,0.6255952049318924,5.608874888740517,0.6239679059569903,0.7211032434999645,0.30695330652766256,1.3571951479650886,0.13258114803137516,0.009113347256502754,0.45401291296889534,0.731070496083551,9.399999999999999,1.0344827586206897,0.033826677518106876,10-50m, less than 10
36,China,288,0.11773493669934813,0.013374647834654167,0.2210663805569809,0.13602188663880113,0.0,0.0,10.0,0.057338143155496485,5.732603710758144,4.934725848563969,9.399999999999999,1.724137931034483,0.000921051268551076,>1000m,35 to 50
37,Colombia,213,1.1807751560327704,3.9770217853028162,1.2984092923450108,1.2532468243443633,0.30017616380627327,0.4986272308305162,0.3532920083932087,0.01670780330358838,0.6774793154906473,0.9007832898172325,8.7,1.0344827586206897,0.2109950551482262,50-100m, less than 10
38,Comoros,159,0.0006400679975071035,0.12602894861043212,0.0003265382282968699,0.0007680190519503003,0.0,0.0,0.005806127257154378,0.17657110309474083,0.0011357482312400497,0.587467362924282,9.8,0.3448275862068966,9.007836367247688e-06,< 1m, less than 10
39,Congo (Brazzaville),201,0.006677956395043748,0.20687131581278437,0.0042916452861874324,0.00616795465894797,0.0,0.0,0.038103207766327286,0.005316119232959939,0.208525207107659,0.39164490861618806,7.5,0.6896551724137931,0.00264830389197082,1-10m, less than 10
40,Congo (Kinshasa),211,0.014165715418512477,0.02646956424341746,0.013108177450202919,0.016353727994627677,0.0,0.0,0.6220253155471961,0.014429466489462693,1.3842994042389911,2.389033942558747,9.399999999999999,1.0344827586206897,0.0007814298048587369,50-100m,10 to 20
41,Costa Rica,215,0.11329073987455185,3.8114819566424756,0.05019359052106171,0.08357602365117844,0.01913038629334062,0.31741417050853904,0.03515752589778051,0.03721283463071957,0.03117751018219661,0.6005221932114883,6.0,0.3448275862068966,0.07587525768041908,1-10m, less than 10
42,Cote d'Ivoire,207,0.026148202950791205,0.1692835919254467,0.005597798199374912,0.03151417018953092,0.014371505347605935,0.046049772482208665,0.1830370935466442,0.03075754699069679,0.19417569988500247,0.09138381201044386,9.8,0.3448275862068966,0.00045489573654600824,10-50m, less than 10
43,Croatia,224,0.02719770715722998,1.135055521851781,0.015393945048281009,0.028386555413923393,0.03021040999741974,0.6219948378705873,0.028287116831564946,0.026960318967153975,0.03416953509245266,8.276762402088773,8.5,0.6896551724137931,0.006244682561594459,1-10m,50 to 65
44,Cuba,207,0.00774300881194828,0.11656939119416451,0.005737743154359285,0.00879096187562947,0.05771319648055137,0.43067188524746475,0.07846011725317217,0.039491171444845256,0.06499349784137616,4.164490861618799,9.3,0.6896551724137931,0.0007071151548289434,10-50m,20 to 35
45,Cyprus,216,0.0028232958837408474,0.40054380451557997,0.0011662079582031068,0.0022913626260665986,0.0,0.0,0.008152826229382588,0.04898424150370229,0.005641493499154204,4.046997389033943,6.6000000000000005,0.3448275862068966,0.0016011429142782766,1-10m,20 to 35
46,Czechia,221,0.15173498593534793,2.428071924875656,0.04604189018985865,0.08724315594261882,0.13243647841325212,1.0452761607461678,0.07416886902304241,0.05202202392253654,0.047163471845564624,3.407310704960836,4.699999999999999,0.3448275862068966,0.13768928279156453,10-50m,20 to 35
47,Denmark,222,0.042644854254962145,1.2614177587384081,0.031207724961515134,0.0426139496696804,0.35788342106878207,5.2223918056851755,0.040007723392226115,0.05126257831782798,0.02590788263617423,8.798955613577025,8.2,0.6896551724137931,0.01213805950486626,1-10m,>=65
48,Djibouti,204,0.007045930709400058,1.2222037055850226,0.0028455474180155804,0.008514855852820892,0.0,0.0,0.006628748221314659,0.015568634896525536,0.014153499060168339,0.3524804177545693,9.9,0.3448275862068966,2.702350910174306e-05,< 1m, less than 10
49,Dominica,198,3.8870526164399e-05,0.09807973679304469,0.0,3.8083589352907454e-05,0.0,0.0,0.00026440122628670394,0.03569394342130244,0.00045735237913913833,1.9843342036553526,7.5,0.0,1.5763713642683452e-05,< 1m,10 to 20
50,Dominican Republic,212,0.15350618624423906,2.4249542031863562,0.10136679572701403,0.14929401752828936,0.043018251217044765,0.335180118672711,0.0751341297763412,0.08467818492500474,0.02950441870176772,0.8485639686684074,7.9,0.6896551724137931,0.05003627906096909,10-50m, less than 10
51,Ecuador,224,0.19198023304176118,1.864533604618725,0.5707421747446004,0.20332510992272682,0.03327628384446904,0.1594162671115938,0.12234591289011701,0.026200873362445413,0.1516523091196492,4.2297650130548305,8.6,2.7586206896551726,0.017567532875224803,10-50m,20 to 35
52,Egypt,223,0.13593411704951974,0.22704508139337146,0.2834818304800112,0.1553810445598624,0.0,0.0,0.7107704772279554,0.03835200303778241,0.6078384091611163,0.6657963446475196,9.3,2.0689655172413794,0.0020650464871915324,100-500m, less than 10
