,Country,Days,Cumulative Confirmed Count,Cumulative Confirmed per million,Cumulative Death Count,Cumulative Recovered Count,Cumulative Testing Count,Cumulative Testing per thousand,Population,Population_Density,Land_Area_Kmsq,Health Capacity Score,Recovery Rate,Fatality Rate,Active,Risk.of.Transmission.from.P2P,Risk.due2.lack.of.sanitation.and.water.services,Risk.based.on.Pop.Dist.,Vul.Index,Hazard.Ind.Vul.Risk.Index,INFORM.Socio.Eco.Vul.Risk.Index,Vul.related2.Dev.and.Deprivation,Vul.due2.Eco.and.Gender.Inequality,Vul.based.on.Eco.Dependency.Index,INFORM.Vulnerable.Groups.Risk.Index,Vul.associated.with.Uprooted.people,Vul.due2.other.Health.Condns,Vul.due2.lack.of.Food.Security,Vul.due2.Gender.Based.Violence,Covid19.Overall.Vul.Index,Vul.related2.Intl.and.Int.Movements,Vul.due2.lackof.authntic.info.nd.trust.on.politicians,Vul.due2.1plus.underlying.condns.plus.0.condns.65plus.yrs.pop,Lack.of.Coping.Capacity.Index,Hazard.Independent.Lack.of.Coping.Capacity.Index,INFORM.Risk.Index.related2.Institutional.Strength,Risk.based.on.Corruption.Perception.Index,Risk.based.on.Govt.Effectiveness,INFORM.Risk.Index.based.on.ltd.opl.Infra,Risk.associated2.Immunization.coverage,Risk.based.on.pc.public.and.pvt.exp.on.healthcare,Risk.based.on.Maternal.Mortality.ratio,Covid19.Overall.Lack.of.coping.capacity.Index,Lack.based.on.IHR.core.capacity.scores,Lack.based.on.Opl.readiness.index,INFORM COVID-19 RISK,COVID-19 RISK CLASS
70,Guinea-Bissau,147,0.003812166141448438,0.27349921645198877,0.0019182487517278343,0.003946689228515057,0.0,0.0,0.013437668630254248,0.025821150560091134,0.017169948663569332,0.2088772845953003,5.151515151515151,0.6896551724137931,0.0029450664630627115,7.0,7.9,6.5,4.7,6.4,7.1,9.2,6.4,3.6,5.5,3.2,5.6,7.2,5.2,2.3,1.4,7.1,0.4,7.2,7.6,8.1,8.2,8.0,7.1,2,9.8,7.4,6.75,6,7.5,6.2,High
71,Guyana,161,0.0020332714291911914,0.3676821676230464,0.001974667832661006,0.0022272354475027295,0.0,0.0,0.005229113528554077,0.0007594456047085627,0.12019941052224331,0.39164490861618806,5.454545454545454,1.0344827586206897,0.0014457085609665466,2.4,1.5,2.9,3.9,3.6,4.4,4.5,6.6,2.1,2.6,0.8,4,2.6,2.6,4.1,2.9,6.2,3.6,5.2,5.4,5.8,6,5.5,4.9,0.5333333333333333,9,1.9,5,5,5,3.7,Medium
72,Haiti,154,0.014211992328973909,0.17474271449140244,0.011340235267567491,0.020111655935547448,0.0,0.0,0.07898754402731162,0.15644579456996394,0.01682800295954007,0.14360313315926898,7.07070707070707,0.6896551724137931,0.0062939148093641255,6.8,6.9,6.7,5.6,6.9,7.5,8.2,6.2,7.4,6.1,4.7,3.3,9.0,5.1,3.9,3.8,7.8,2,7.7,8.4,8.5,8.2,8.8,8.2,8.3,9.8,5.3,6.8,6.1,7.5,6.6,Very High
73,Honduras,164,0.10389023888587179,1.472943273476068,0.10392394707890208,0.035565728309493276,0.0,0.0,0.068580182332906,0.033035883804822475,0.06832136228237523,0.3002610966057441,1.7171717171717171,1.0344827586206897,0.13453560565588296,4.3,1.5,5.7,4.1,4.8,5.7,6.4,6.4,3.4,3.8,7.1,1.1,3.4,1.8499999999999999,3.3,4.0,6.0,1.6,6.5,5.9,6.8,7.4,6.2,4.8,0.3,8.8,0.7,7.05,6.6,7.5,4.9,Medium
74,Hungary,170,0.009342246275341191,0.1355779492161896,0.03464131569296736,0.013156798075892697,0.05324025573305709,0.6258534463696515,0.06688312318357252,0.03987089424719954,0.055278576142973365,5.339425587467363,7.07070707070707,3.7931034482758625,0.002843415079869751,2.4,0.1,3.5,5.4,1.4,1.3,1.1,2.4,0.5,1.5,2.8,0.1,1.6,1.3,7.7,6.8,4.9,9.6,3.1,3.2,4.8,5.6,4.0,1.3,0,3.5,0.1,2.9,3.3,2.5,3.4,Low
75,Iceland,177,0.003597862468962991,1.492343509067077,0.000564190809331716,0.00685330152635667,0.011388207119062695,3.789806464624104,0.00213516409545709,0.0003797228023542813,0.06121377657719556,6.6449086161879904,9.494949494949493,0.0,0.00032189604677770764,3.8,0.1,5.7,3.6,0.7,0.2,0.0,0.8,0.1,1.1,2.2,0.1,0.9,1.1,5.7,5.3,4.7,6.4,1.3,1.7,2.2,2.2,2.1,1.1,1.4333333333333333,0,0,0.8,1.6,0,2.6,Low
76,India,176,5.767411868485843,0.5863069547213658,3.4117746621907528,8.838100994621716,5.0240417850553305,0.4134263980441235,9.58785653073235,0.17543193468767798,1.8154807246733182,3.7728459530026113,7.6767676767676765,0.6896551724137931,2.049941324562701,4.7,3.2,5.4,4.5,4.5,4.6,6.6,4.7,0.4,4.3,6.1,2.2,4.4,3.75,4.5,5.6,5.3,3.6,4.6,5.4,5.2,5.9,4.4,5.6,2.8,9.4,1.6,3.75,2.5,5,4.6,Medium
77,Indonesia,172,0.28376419696493727,0.14504583618029884,0.3985443877119242,0.4152428352006858,0.15790671305005213,0.06555883481381504,1.9001710110724779,0.05657869755078792,1.106175423397476,3.6422976501305486,7.373737373737373,1.3793103448275863,0.10516400321218372,4.4,2.8,5.2,3.9,3.4,3.6,4.7,4.7,0.2,3.2,3.4,2.7,2.2,4.2,4.4,6.1,4.3,3.6,5.1,5.7,5.3,6,4.6,6.1,4.75,8.9,2,4.35,3.7,5,4.4,Medium
78,Iran,188,0.6369680107340006,1.0644933689951102,1.185929081215267,1.1026566436402272,0.4055289463602591,0.5482825915761067,0.5833364161615411,0.01898614011771407,0.9944202399127697,4.112271540469974,8.686868686868687,2.0689655172413794,0.08390474587718932,3.6,1.1,4.8,3.7,3.1,2.4,2.1,5.2,0.1,3.8,8.0,0.1,1.3,2.5,4.2,5.1,5.1,3.2,3.8,5.2,6.7,7.4,5.9,3.2,0.1,4.9,0.2,2,1.5,2.5,3.7,Medium
79,Iraq,179,0.36924696999870543,1.288780424221359,0.3721402578351999,0.5384621849740051,0.19303377680525804,0.5449915263048241,0.27922493957428013,0.0345547750142396,0.2652027075505092,0.6657963446475196,7.373737373737373,1.0344827586206897,0.14566925576504527,4.2,0.6,6.0,4.5,5.6,4.4,4.9,4.2,3.6,6.6,9.1,0.5,6.8,6.8,3.1,5.1,5.0,1.2,6.0,7.0,7.8,8,7.6,6.1,6.766666666666667,8.5,0.9,4.65,1.8,7.5,4.8,Medium
