,Country,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_22,LOCC_23,LOCC_24,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
79,Iraq,4.2,0.6,6.0,4.5,5.6,4.4,4.9,4.2,3.6,6.6,9.1,0.5,6.8,6.8,3.1,5.1,5.0,1.2,6.0,7.0,7.8,8,7.6,6.1,6.766666666666667,8.5,0.9,4.65,1.8,7.5,4.8,Medium
80,Ireland,3.1,0.7,4.3,3.8,0.9,0.4,0.0,1.5,0.1,1.3,3.9,0.2,0.2,0.35,5.9,7.1,3.7,6.4,2.4,1.9,2.4,2.6,2.2,1.4,1.0499999999999998,0,0.1,2.9,3.3,2.5,3.0,Low
81,Israel,4.1,0.0,6.2,3.2,1.4,0.6,0.0,2.4,0.1,2.2,5.4,0.1,0.0,2.2,4.6,6.4,4.9,3.6,1.5,2.4,3.3,4,2.6,1.3,0.5,0.5,0,0.45,0.9,0,2.7,Low
82,Italy,2.8,0.1,4.1,5.8,1.5,0.6,0.3,1.8,0.1,2.4,6.5,0.2,0.4,0.5,8.2,8.6,5.8,9.2,1.9,3.0,4.5,4.7,4.2,1.1,1.4666666666666668,0,0,0.75,1.5,0,3.1,Low
83,Jamaica,4.0,2.1,5.0,4.1,2.8,3.9,4.1,5.4,2.1,1.5,0.0,1.7,2.9,1.1,5.2,6.2,5.0,4.8,4.2,4.7,4.9,5.7,4.0,4.4,0.85,8.4,0.9,3.7,2.4,5,4.1,Medium
84,Japan,3.2,0.1,4.7,5.7,1.1,0.3,0.0,1.3,0.0,1.9,3.7,0.2,2.4,1,8.2,8.9,3.8,10,0.7,1.4,2.2,2.7,1.6,0.6,0.2333333333333333,0,0.1,0,0,0,2.3,Low
85,Jordan,4.1,0.3,6.0,4.0,4.8,3.6,2.2,4.2,5.8,5.8,10.0,0.1,3.6,2.6,3.0,4.6,4.2,1.6,4.8,4.4,5.0,5.2,4.8,3.8,0,8.5,0.5,5.1,5.2,5,4.3,Medium
86,Kazakhstan,2.6,0.3,3.8,2.7,0.9,1.1,1.3,1.7,0.0,0.7,0.0,0.5,0.8,1.6,4.2,4.9,4.6,3.6,4.1,4.3,5.8,6.6,5.0,2.3,0.06666666666666667,7.3,0.1,3.95,2.9,5,3.1,Low
87,Kenya,6.0,7.4,5.3,4.7,6.1,5.7,7.5,5.7,1.9,6.5,7.7,4.6,7.5,5.4,2.9,3.4,6.5,0.8,6.3,6.8,6.5,7.2,5.8,7.1,5.866666666666667,9.7,3.8,5.75,6.5,5,5.6,High
88,Kiribati,5.9,5.3,6.2,5.9,5.6,5.4,5.5,3,7.7,5.7,0.0,8.8,0.6,8,6.2,5.9,7.7,5.6,5.9,5.5,5.6,5.6,5.6,5.3,2.1,9.3,1,6.2,4.9,7.5,5.9,High
