Country/Region,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_21,LOCC_22,LOCC_23,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
Botswana,3.9,2.1,4.8,4.3,4.2,3.5,3.4,6.7,0.5,4.8,2.2,4.2,7.0,x,4.3,2.2,4.6,5.2,6.2,4.5,4.1,3.9,4.3,4.8,2.2,7,1.6,7.4,7.4,x,4.7,Medium
Brazil,3.0,0.8,4.1,3.7,2.9,3.4,3.7,6.1,0.1,2.3,5.2,0.7,1.3,1,4.4,4.6,6.5,3.2,3.7,5.2,6.2,6.5,5.9,3.9,4.666666666666667,4.1,0.7,1.9,1.3,2.5,3.5,Medium
Brunei,3.9,0.2,5.7,2.7,1.1,1.3,1.1,3.1,0.0,0.8,0.0,0.4,1.9,x,4.0,4.7,3.2,4,2.8,3,3.3,4,2.5,2.6,0.1,4,0.3,2.5,x,2.5,3.1,Low
Bulgaria,2.7,0.9,3.6,5.6,2.1,1.8,1.7,3,0.6,2.3,4.3,0.2,2.4,2,7.8,5.9,5.1,10,3.3,3.6,5.1,5.7,4.5,1.7,1.2666666666666666,4.8,0.1,3.05,3.6,2.5,3.7,Medium
Burkina Faso,7.7,8.8,7.1,4.7,6.4,7.0,9.7,5.4,3.2,5.7,8.8,4,4.3,3.6500000000000004,2.5,2.6,7.5,0,6.9,6.4,6.1,6,6.2,6.7,3.7000000000000006,9.8,3.6,7.3,7.1,7.5,6.3,High
Burundi,6.8,7.3,6.5,5.4,7.2,7.3,9.6,5.2,4.8,7.1,6.8,3.5,8.8,7.6,2.8,4.1,6.9,0,7.6,7.5,8.0,8.1,7.8,7,2.3000000000000003,10,6.1,7.6,7.7,7.5,6.5,Very High
Cabo Verde,4.7,2.6,5.8,3.4,3.5,4.9,5.0,5.3,4.1,1.8,0.0,1.7,3.7,1.5,3.3,4.3,4.7,2,5.6,4.5,4.3,4.2,4.4,4.7,1.45,9,0.6,6.45,5.4,7.5,4.5,Medium
Cambodia,4.9,3.8,5.4,4.1,4.6,5.8,7.5,6.3,1.9,3.1,0.0,2.7,4.7,4.25,3.6,4.3,5.9,2,5.9,6.6,7.1,8,6.1,6,3.4333333333333336,9.4,1.8,5.2,5.4,5,4.9,Medium
Cameroon,6.4,7.7,5.7,4.6,6.3,6.1,7.9,6.5,2.1,6.5,9.0,6.3,2.6,5.800000000000001,2.4,3.2,6.5,0,6.4,7,7.1,7.5,6.6,6.8,2.35,9.6,5.9,5.6,6.2,5,5.7,High
Canada,2.0,0.1,2.9,3.9,1.5,0.4,0.0,1.7,0.0,2.4,6.2,0.1,0.6,0.9,5.7,5.7,3.4,6.8,1.1,2,2.0,2.3,1.6,1.9,2.266666666666667,0,0.1,0.05,0.1,0,2,Low
Central African Republic,6.5,8.5,5.5,7.3,9.4,9.6,10.0,8.5,10.0,9.2,9.8,8.8,9.6,7.9,2.8,1.1,9.3,0.4,9.1,8.7,8.0,7.5,8.4,9.3,8.8,10,9.2,9.35,8.7,10,7.6,Very High
Chad,7.7,9.8,6.6,5.9,7.9,8.5,10.0,7,7.0,7.2,8.6,3.6,8.5,6.5,2.8,2.7,8.4,0,8.3,9.1,8.1,8,8.1,9.8,9.8,9.8,10,7.3,7.1,7.5,7.2,Very High
